feature,importance
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,3.585
CC_CNT_DRAWINGS_CURRENT_VAR,3.5825
CC_CNT_INSTALMENT_MATURE_CUM_VAR,3.5725
PREV_NAME_GOODS_CATEGORY_Photo / Cinema Equipment_MEAN,3.565
PREV_NAME_CONTRACT_STATUS_Unused offer_MEAN,3.5475
CC_AMT_DRAWINGS_CURRENT_MEAN,3.4725
CC_AMT_DRAWINGS_CURRENT_VAR,3.445
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,3.4425
COMMONAREA_MEDI,3.405
CC_AMT_INST_MIN_REGULARITY_MEAN,3.3975
REFUSED_AMT_DOWN_PAYMENT_MAX,3.365
PREV_PRODUCT_COMBINATION_Cash Street: low_MEAN,3.36
CC_AMT_DRAWINGS_POS_CURRENT_VAR,3.36
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,3.32
PREV_NAME_SELLER_INDUSTRY_Construction_MEAN,3.3175
CC_AMT_DRAWINGS_POS_CURRENT_MEAN,3.3175
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,3.31
REFUSED_AMT_DOWN_PAYMENT_MIN,3.29
CC_AMT_INST_MIN_REGULARITY_SUM,3.2625
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,3.2425
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,3.235
CC_CNT_DRAWINGS_POS_CURRENT_SUM,3.2175
NEW_RATIO_BURO_AMT_ANNUITY_MAX,3.21
PREV_NAME_GOODS_CATEGORY_Construction Materials_MEAN,3.1975
REFUSED_AMT_CREDIT_MEAN,3.1625
PREV_NAME_SELLER_INDUSTRY_Furniture_MEAN,3.13
CC_AMT_PAYMENT_CURRENT_SUM,3.115
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,3.11
CC_AMT_BALANCE_MIN,3.085
ENTRANCES_MODE,3.07
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,3.0525
